,B0,E,Eh,El,Th,Tl,aic,bic,chisqr,id
0,3.175381852140819e-08,0.746609159632412,5.945986653693094,0.0009795406897409977,5.945986653693094,5.945986653693094,-17.50523189809773,-17.82977100376585,0.10340282675303848,101
0,,,,,,,,,,102
0,4.3154633133888516e-08,5.6398864451633415,15.817407632660188,5.224221678165313,15.817407632660188,15.817407632660188,-34.44529405724262,-33.96864480716361,0.024083695192523482,103
0,,,,,,,,,,104
0,,,,,,,,,,105
0,,,,,,,,,,106
0,4.657219079001249e-08,6.804573342559548,9.967712727833092,6.1398022769452645,9.967712727833092,9.967712727833092,-32.80362053362513,-32.326971283546115,0.02956952452101561,107
0,,,,,,,,,,108
0,,,,,,,,,,109
0,,,,,,,,,,110
0,0.00012424285666544937,33.17916781685718,40.9149508261749,32.65579777206362,40.9149508261749,40.9149508261749,-64.57582636006873,-64.09917710998971,0.0005572276170374643,111
0,,,,,,,,,,112
0,,,,,,,,,,113
0,,,,,,,,,,114
0,,,,,,,,,,115
0,2.1838935491424578e-08,4.098696387019099,10.359070682219807,3.4670055484250994,10.359070682219807,10.359070682219807,-33.878004902393506,-33.40135565231449,0.02585350567627235,116
0,6.213955685808803e-09,1.1936455916201578,38.81241035964448,4.381723483931034,38.81241035964448,38.81241035964448,-13.35421831362276,-12.877569063543746,0.33627172263424976,117
0,,,,,,,,,,118
0,8.832087582898215e-09,6.684742541510988,18.862339974520136,6.270084434565272,18.862339974520136,18.862339974520136,-33.96109276787025,-33.484443517791235,0.025586381177524112,119
0,,,,,,,,,,120
0,,,,,,,,,,121
0,,,,,,,,,,122
0,,,,,,,,,,123
0,8.111924024338505e-09,1.4088021425280282,9.68557242711073,1.5584551727987603,9.68557242711073,9.68557242711073,-45.75004726510285,-44.566699801085534,0.014706770088081147,124
0,4.364143479785809e-09,1.1785652742769435,12.479195122534122,4.067742623380759,12.479195122534122,12.479195122534122,-33.35356952153687,-32.17022205751955,0.05830537903930107,125
0,,,,,,,,,,126
0,,,,,,,,,,127
0,,,,,,,,,,128
0,,,,,,,,,,129
0,,,,,,,,,,130
0,,,,,,,,,,131
0,,,,,,,,,,132
0,,,,,,,,,,133
0,2.726175136891926e-08,3.858924448330699,10.603286905043884,3.3557594834817457,10.603286905043884,10.603286905043884,-1.2813085978476213,0.5342019601166541,2.6497206867305705,134
0,,,,,,,,,,135
0,,,,,,,,,,136
0,,,,,,,,,,137
0,,,,,,,,,,138
0,,,,,,,,,,139
0,,,,,,,,,,140
0,,,,,,,,,,141
0,,,,,,,,,,142
0,,,,,,,,,,143
0,,,,,,,,,,144
0,1.2494207976460089e-08,3.5798050891908213,13.181812312771333,3.4288417286677246,13.181812312771333,13.181812312771333,-28.881548241548643,-27.698200777531326,0.09583094094997188,145
