,B0,E,Eh,Newid,Th,aic,bic,chisqr
0,2.6055629587240503e-07,1.1614041905996615,3.486557079923024,49,302.4812958566757,-17.95085022155661,-18.78381234464439,0.0793900499268308
0,8.919589289391183e-09,0.5309097746845604,5.440153879428313,50,305.09343597581807,-23.37310406490615,-23.589463468684897,0.079185517223971
0,4.324290925339369e-09,1.5358255694791039,3.4813656637983863,51,297.724259633361,-25.613262201277053,-25.295496034557708,0.11976590495919434
0,4.582719315138206e-09,0.9742506116162095,10.069750633550925,52,304.48106720984964,-15.41914922338351,-14.630250914038632,0.6670414346036789
0,4.711283363434404e-09,1.0759118428946493,5.2326044863287695,53,302.5513847907739,-8.367620831907317,-8.583980235686063,0.6754869786618755
0,1.4407936399507548e-08,0.4943562388527296,8.475764626524313,54,304.8917639194909,-15.511629579293295,-15.193863412573952,0.423368569876907
0,6.514313977135089e-09,1.1974499892099653,3.4685666862490336,55,301.0445733809206,-24.36603375018837,-24.048267583469027,0.13997202789387345
0,5.199363606323004e-09,1.3879099647172608,3.0137438566580306,56,299.42103804207875,-30.034646987807584,-29.245748678462704,0.13148699755024668
0,3.795106229276257e-09,1.2406239230922425,4.157833464054985,57,301.0254631140747,-12.962802514830617,-13.179161918609363,0.35036636161271045
0,3.1690505775117117e-09,1.4933728867312324,4.8182925887325,58,301.03296115703955,-2.6148218460024086,-1.8259235366575304,2.767100241857224
0,8.27285107085629e-09,1.2969752383819246,3.5945865935089234,59,299.6611856148989,-20.77752743198385,-20.459761265264504,0.21920467703045254
0,6.788756223841119e-09,1.6986961668274465,2.5572724216214873,60,294.8557653734233,-28.943596246143727,-28.625830079424382,0.07898415714552678
0,9.392049138412517e-09,1.0531497838068509,4.399475778843455,61,301.50494189593115,-21.686422522503122,-21.368656355783777,0.1956630418165765
0,1.3550796706951473e-08,0.8672651385660126,4.308901622634041,62,299.9197169561318,-27.117173951815722,-27.33353335559447,0.046382688273669544
0,7.722806394383497e-09,0.8436006088795323,6.307496054594463,63,303.7105117705811,-12.06371473278692,-11.745948566067577,0.6514707369051259
0,7.979650051836984e-09,0.878676189855973,5.46095682042428,64,304.0600778403358,-17.412349826487215,-16.623451517142335,0.5345287037884412
0,9.914246756892453e-09,0.9043635523069888,3.9695703055161555,65,302.3094001410884,-26.285795959111475,-25.496897649766595,0.19942674421366552
0,7.33876559522173e-09,1.2903910670958156,3.301568506828816,66,299.3860726007029,-17.798958136565513,-17.481191969846172,0.3180876754021513
0,2.056387060633824e-09,1.6058983598364391,4.53345409813213,67,301.56026987362696,-12.991633979031189,-12.673867812311846,0.5801244057908757
0,3.292184302949863e-09,3.2131423093779796,3.6096021636641327,68,290.2744244383331,-21.76733560262647,-21.44956943590713,0.193694053485922
0,8.274070317781934e-09,1.3940966927884544,4.914907939599759,69,298.2309367081881,-9.38968422646872,-9.071918059749377,0.9100379412775977
0,7.579709526694955e-09,0.7357678076798619,7.338520307746794,70,305.4558993791333,-18.09242640905648,-18.308785812835225,0.1683720208494257
0,3.747244292640062e-09,2.1592323154556112,3.3324998400227557,71,294.6594572751004,-16.113233531633487,-16.329592935412233,0.22338970016288306
0,2.4506625617704003e-09,2.314147941504885,4.1310980919671945,72,296.3734712274653,-10.368619281923706,-9.579720972578828,1.1691381802892973
0,4.533217801139244e-09,1.0966160092435406,4.953723138838473,73,303.0763584187723,-16.203051296395934,-16.41941070017468,0.22054167326073423
0,2.0859569627162955e-09,1.7662090927524776,4.5271145350507345,74,300.47170741507693,-11.28331546964317,-10.965549302923828,0.7182246383918212
0,2.0965298386244058e-09,1.481600790865218,5.354192451810473,75,302.1776913432336,-10.60390513152623,-10.820264535304975,0.49076465489995924
0,9.504673492699567e-09,0.750748014231178,5.18111752478285,76,302.8522357721353,-16.863364817259594,-16.074466507914714,0.5681490325252989
0,1.6903223265529732e-09,2.1487581121654786,4.172958148610405,77,298.3440263529711,-4.15860347958615,-3.8408373128668067,1.7500005578933417
0,4.856216540005676e-09,0.997988567652871,6.083913218650667,78,303.415453683006,-16.31148177697373,-16.527841180752475,0.2171517901430458
0,3.5800473696667723e-09,1.1091003229368464,6.487498835052021,79,304.0262262810836,-14.849153634645809,-14.531387467926466,0.45992002530305653
0,7.069265173242911e-09,0.8176106538947308,7.575991785568458,80,303.36649445156024,-32.56671372614222,-31.77781541679734,0.0992425863528197
0,3.405036475001566e-09,1.3448480573756716,3.4225750208047394,81,300.86493674448417,-21.751448539210443,-21.96780794298919,0.09982897719859134
0,8.419431818396106e-09,0.7383431478428346,7.228433941375684,82,305.06477477286455,-18.00482110693229,-18.221180510711037,0.17049244488041718
0,6.052015777413544e-09,0.9742264429173109,4.45138709204634,83,303.4654080663823,-19.80095870262002,-20.017318106398765,0.1319073654183387
0,2.498713680409992e-09,1.3995837659398518,4.832792985130434,84,301.80106473801993,-14.060203937396395,-13.742437770677052,0.5075886261551434
