,B0,E,Eh,El,Newid,Th,Tl,aic,bic,chisqr
0,2.9181566052471908e-09,16.13791284912495,14.797842217121644,17.13334748907783,60,283.6938561491973,285.36719499112615,-26.638739907161586,-26.162090657082572,0.06390223467851605
0,1.7759844705977912e-09,17.11735895732298,21.03511654950401,16.384191714911303,61,287.9956514356079,284.0501354143102,-23.342513002325347,-22.865863752246334,0.09648453103801495
0,1.809591743118233e-08,3.352192222063354,7.524100141095314,2.9036267121242,62,294.36654279478955,283.8930717341159,-44.24126527472045,-44.56580438038857,0.002268681805097974
0,4.639481021584402e-09,2.377581585076448,12.765088320711024,2.6598519232784374,63,303.05487276893854,290.85623482017166,-50.651777291992474,-50.17512804191346,0.0031763243362706505
0,5.523987489652882e-09,1.658242548999405,10.567786627125683,2.4233839724844644,64,304.99313372833836,295.7678387185931,-56.39082496904207,-55.207477505024755,0.004508656899633497
0,7.88939757967455e-09,2.049029534721062,6.550107211933903,2.1428116293786843,65,300.63793506983916,290.39912408524924,-54.23136213124293,-53.048014667225615,0.005731284172628127
0,5.0653043981441215e-09,3.7352553115738045,3.5103983611594707,7.9384874462305355,66,286.92219177826826,296.8207313759216,-44.167976423711785,-43.69132717363277,0.0071434779650147535
0,1.4924039781760712e-09,2.539764501557405,12.968841682690272,2.7052162581740333,67,304.0821692021862,293.39157261711966,-26.41032084720353,-25.933671597124516,0.06575309319627264
0,2.786753938721631e-09,3.4676057800059974,72.20969867459226,3.631770284922232,68,304.37184034445227,289.68582938136876,-22.299029841812697,-21.822380591733683,0.10992717382887773
0,1.2176699204502484e-08,3.8545209987326112,11.745066352821151,3.7346526908494946,69,297.01194260856033,285.32307680509405,-23.907277956248613,-23.4306287061696,0.08990801356247136
0,2.3557171768828766e-09,2.605629179906991,13.73394624058749,2.5290837653097653,70,303.7932491531124,290.7559009480801,-34.40951592758181,-34.73405503324993,0.00924178067877782
0,4.597766611880161e-09,2.2924690849713216,54.407616539142474,2.7061154864829837,71,304.45448340889374,291.9945272323573,-19.47972632691831,-19.804265432586433,0.07798852239258425
0,2.742513993680973e-09,3.1365304622652115,9.345129210149821,3.20172166504923,72,300.16551880009814,290.1449431867018,-17.02359253811346,-15.840245074096142,0.3578579933087898
0,1.2100067614539967e-09,3.052307403276857,8.982167289541117,2.9694003625743663,73,300.80645100060246,291.38471378255815,-30.66356270223138,-30.988101807899504,0.015782011145114513
0,1.24528720668593e-09,3.206784766580996,12.027345872198486,3.237244575093455,74,302.2852728773904,291.39112611914186,-29.32958025907532,-28.852931008996308,0.0456498028488756
0,5.178304451902704e-10,3.300850773221014,10.600071408942283,3.465208862970554,75,301.6120033617375,293.0692772136886,-29.050452676994816,-29.37499178266294,0.019872066369779968
