,B0,E,El,Newid,Tl,aic,bic,chisqr
0,7.722740225091229e-09,0.8436342267931856,6.307175100239415,63,303.71021833141236,-12.063714557093899,-11.745948390374556,0.6514707512124838
0,7.979757743470373e-09,0.8786579842945625,5.461064723802088,64,304.0602467456945,-17.412349931807096,-16.62345162246222,0.5345286975332747
0,9.91425741503349e-09,0.9043661478891325,3.969563461302414,65,302.30937503433324,-26.285795949536322,-25.496897640191442,0.19942674442583674
0,7.338085916686055e-09,1.2905775004888893,3.3013474203827524,66,299.3844368409201,-17.798958089660367,-17.481191922941022,0.31808767726714504
0,2.3750723610049818e-09,1.478989384424633,4.7534215608559025,67,302.2518449909488,-13.160851471445312,-12.84308530472597,0.5679823741032541
0,3.819984328856663e-09,3.2516018478888284,3.5647987511394605,68,289.6285166665381,-19.966956508257727,-19.649190341538386,0.24257895793896617
0,8.274519736062302e-09,1.3938476604435275,4.915621460981032,69,298.2327568170979,-9.389684230151936,-9.071918063432593,0.9100379408586144
0,7.579737504315176e-09,0.7357646753407796,7.338579723318743,70,305.4559264228018,-18.092426417088475,-18.30878582086722,0.16837202065623097
0,4.138499098971238e-09,2.0113951342637924,3.2795473432283426,71,295.23824315803085,-15.908110902587651,-16.124470306366398,0.23003259433486825
0,2.310664104498983e-09,2.3692916667136315,4.163685732217644,72,296.2475732008277,-10.420590471475506,-9.631692162130628,1.1624063577105923
0,4.490694704983866e-09,1.102779394011634,4.944847113797764,73,303.0509440124345,-16.202134906760893,-16.41849431053964,0.22057054687972347
0,2.411407296065704e-09,1.6240341737752146,4.6835206235783495,74,301.18800620615406,-11.548391034633294,-11.230624867913951,0.6948166107584361
0,2.2613153571882094e-09,1.4291741930154145,5.411644575325084,75,302.36714983940055,-10.611882119562871,-10.828241523341617,0.4902057128970028
0,9.504627085377138e-09,0.7507438248589267,5.181153567328338,76,302.8522831302341,-16.863364829397394,-16.074466520052518,0.5681490317590681
0,1.9367547565707355e-09,1.9693898562221475,4.248091031876432,77,299.2383308266702,-3.9503271170136056,-3.6325609502942626,1.7961592802454915
0,4.706462330972272e-09,1.0167584532155005,6.05735662596822,78,303.3577445472456,-16.27714415344844,-16.493503557227186,0.21821961796647865
0,3.456845032445699e-09,1.1314941466216726,6.410991896234048,79,303.9354695037541,-14.74888978088632,-14.431123614166976,0.4657204670626106
0,7.069264951198306e-09,0.8176106899719313,7.575991351623559,80,303.36649412900806,-32.56671372610608,-31.7778154167612,0.09924258635321824
0,3.5149838595316396e-09,1.317937355295697,3.435560021401307,81,301.01758382689144,-21.762326659973482,-21.978686063752228,0.09967396172534533
0,8.419344776910975e-09,0.7383492449875331,7.228343346877361,82,305.06472639070773,-18.004821106349393,-18.22118051012814,0.17049244489461426
0,6.022960352680684e-09,0.977405771110119,4.4458037792662,83,303.4496472294446,-19.800283137172183,-20.01664254095093,0.13192009632671062
0,2.2816575295792063e-09,1.4770878668035392,4.731869452900595,84,301.4298127752902,-13.947733255178772,-13.629967088459429,0.5147751296051323
0,1.4896424094246186e-09,1.6114581962043895,4.424255239169464,85,301.20240221541684,-15.672169286668751,-14.883270977323873,0.6485498201438737
0,8.883529911685173e-09,1.143161624532421,3.863701981275886,86,299.7389825355921,-27.36918366723512,-27.585543071013866,0.044742547929860224
0,6.510967320849659e-09,1.0256113265536735,7.9934424820713925,87,301.6641296186999,-15.147601744750112,-14.82983557803077,0.4430783437343774
0,8.486786828854065e-09,1.2753176509528852,3.7116689956008324,88,298.0978610015864,-18.68049296792967,-18.36272680121033,0.28489913338306827
0,8.217797553555783e-09,1.054240665300978,5.012768301243463,89,300.54104956716526,-16.80106140384003,-16.483295237120686,0.36034580692387663
0,6.42846287313148e-09,1.2177996712216799,4.118038048298385,90,299.27037341077124,-14.769594469907467,-14.451828303188124,0.464516700779776
0,1.192359366797291e-08,0.6785008549903804,5.430715683396188,91,302.07341065602714,-39.484549069679424,-39.70090847345817,0.00792607865258496
0,7.0077088576425695e-09,1.289262673884497,3.709849034743746,92,298.62665363544926,-19.97006425938706,-19.652298092667714,0.24248474186134772
0,1.573888819272895e-08,0.8329888177748428,5.7079814556200565,93,297.68553328115854,-22.13012425644616,-22.346483660224905,0.0945720485789388
0,2.3740604593314174e-08,0.27448375622001153,14.406304016529129,94,302.2031358526508,-8.06405270778711,-7.746286541067766,1.0740482850320074
0,1.7137687935431245e-08,0.7027278203542078,6.593182060717054,95,298.80927983485094,-29.815098616954884,-30.03145802073363,0.03154794596533973
0,9.508430043325689e-09,1.148531865786829,3.4095558149674154,96,297.5501379791231,-20.247394900150873,-21.080357023238655,0.05414229092836881
0,1.587900855248847e-08,0.7645668526029592,4.52304088507593,97,297.93186391932545,-24.748331669924774,-24.96469107370352,0.06506145809478209
0,1.7410577868304244e-08,0.6934253991784052,6.5368453797754,98,298.1233253910748,-22.06908389684464,-22.285443300623385,0.0954003277709472
0,1.5180624091115646e-08,0.9823039866922787,6.092454088477581,99,298.1342235001752,-26.372286291553387,-26.588645695332133,0.051590565414116094
0,1.6603708630213987e-08,0.6010027492862551,15.155525289632916,100,300.10615121847525,-12.427520175159039,-12.643879578937785,0.3782094944267211
0,1.5886053361668928e-08,0.7461306732912958,5.9454979800593835,101,298.1696089544377,-21.50523226275145,-21.721591666530195,0.10340282136643507
0,1.2287217243667214e-08,1.2928737627023197,4.541485919039407,102,296.8391814120703,-7.042554129045552,-7.875516252133332,0.48902929388175914
0,9.890711138993424e-09,0.7826579856083244,5.254453461635243,103,302.80673513489484,-16.02729687242262,-15.709530705703278,0.396939831635963
0,6.254833762042722e-09,1.32209423267701,3.295324871557403,104,298.660626156919,-19.779311371278798,-19.461545204559457,0.2483360574508751
0,7.241359067933217e-09,1.223848467094633,3.9650083925363067,105,299.5261675494129,-20.70396353440672,-20.38619736768738,0.2212296669471662
0,7.41147765381811e-09,1.1700725382424957,2.9434828119710357,106,299.0558688908499,-19.101079415811434,-18.78331324909209,0.2703079578581099
0,7.850673888754045e-09,1.3925089139453743,2.577724388918774,107,296.36856835222625,-18.908273833923147,-18.590507667203802,0.27690170605390296
0,7.297301207742635e-09,1.3649382085692632,2.5331603771963698,108,296.67725018926865,-19.309767911591038,-18.992001744871693,0.2633478631298055
0,7.03652580646974e-09,1.4725896775480152,2.7075933797401524,109,296.2997980792426,-28.18038560218288,-27.862619435463536,0.08689049262755318
0,7.859729755921308e-09,1.0597889052144804,3.729511095850307,110,300.5564105868136,-17.39510907250693,-17.07734290578759,0.3345573071100585
0,9.731184080763455e-09,0.8119859762292132,7.095751372520793,111,302.2421886963206,-15.026625612437194,-14.70885944571785,0.44982949866327676
0,1.3336661774943082e-08,0.6478104229835546,5.829052867258806,112,302.6730823832082,-22.928027787071116,-23.144387190849862,0.08438382566277468
0,7.551993030929793e-09,1.2423586841236909,4.15201886868488,113,299.36965784747645,-17.387191865865947,-16.59829355652107,0.5360249776675249
0,1.0385211135499617e-08,0.707365967083202,10.67737518431454,114,303.5917498844141,-13.114130266463153,-12.325231957118275,0.8617501524176673
0,9.026542846513053e-09,1.2874928767477765,3.5562844040945087,115,298.2366302605745,-16.18885349658365,-15.871087329864308,0.38900419732119634
0,7.68987562516088e-09,1.0171669895422406,6.067795903962945,116,301.3882319519128,-19.100701902781267,-18.782935736061923,0.2703207137561086
0,5.9590430367961744e-09,1.231720533025972,4.318042392646532,117,299.858433306793,-17.25372429993584,-16.935958133216495,0.34052252740130595
0,8.173918653042733e-09,0.927188501436573,5.296893753651295,118,301.738637585319,-18.05861927496446,-17.74085310824512,0.30792905369421875
0,3.856631680676514e-09,1.4107851508835392,6.876741154403711,119,300.9602981191879,-1.9718237956884899,-1.6540576289691469,2.3001252252613114
0,7.4304273844916224e-09,1.0507410908136698,6.607954923419592,120,301.81615568987354,-14.033522891888296,-13.715756725168953,0.5092843266790148
0,9.092426367374173e-09,0.9022614451687623,5.806231497089093,121,301.33540807793923,-20.49746895019575,-20.179702783476408,0.2270143433133172
0,7.500353671474613e-09,1.1459674400176003,3.5135445778361802,122,299.95961032109216,-19.663709446892746,-19.3459432801734,0.25195062601433477
0,1.7702065369107345e-08,0.594106534078741,5.551413461506088,123,301.3065161360546,-40.720825702655084,-40.40305953593574,0.018121400860888034
0,7.939093382702822e-09,0.855837005975405,7.880464382397486,124,303.57845888082306,-26.481635922809772,-25.692737613464892,0.19513409248474659
0,4.815646548195218e-09,1.003688143189752,10.197659570302957,125,303.5735599793488,-25.414868438594247,-24.625970129249367,0.21968983187865881
0,1.561774776170921e-08,0.6757977767466146,5.899666872542037,126,300.8676373244354,-24.795628463170203,-24.006730153825323,0.23533761393573732
